r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
1.37,0.21645151097589976,-1.6908460051319043,-0.7560237561480685,0.0,0.0,0.0,-0.5134754963233703,-0.9609189978326342,-1.4859507634473386,0.7299270072992701,-0.7299270072992701,0.7299270072992701
1.3800000000000001,0.22934665550496935,-1.6589028959851864,-0.7478849931899221,0.0,0.0,0.0,-0.4952910256544508,-0.9342652148257663,-1.4725226743493423,0.7246376811594202,-0.7246376811594202,0.7246376811594202
1.3900000000000001,0.24172775692539217,-1.6271654146896526,-0.7361979002335233,0.0,0.0,0.0,-0.4776967035062625,-0.907740954257998,-1.455622360665178,0.7194244604316546,-0.7194244604316546,0.7194244604316546
1.4000000000000001,0.2535987920795693,-1.5957304301771313,-0.7215270218710921,0.0,0.0,0.0,-0.4606869222061449,-0.8814447158914172,-1.4358127361568063,0.7142857142857142,-0.7142857142857142,0.7142857142857142
1.41,0.26496605097978676,-1.564678616201853,-0.7043665384604584,0.0,0.0,0.0,-0.44425380717624163,-0.8554587580458244,-1.4135863966164868,0.7092198581560284,-0.7092198581560284,0.7092198581560284
1.42,0.2758377131699388,-1.5340765926679807,-0.6851486793086484,0.0,0.0,0.0,-0.4283876389427373,-0.8298512405553046,-1.3893740314213245,0.7042253521126761,-0.7042253521126761,0.7042253521126761
1.43,0.28622348450127527,-1.5039787957031687,-0.664251119536529,0.0,0.0,0.0,-0.4130772147994241,-0.8046780964024695,-1.3635518188372284,0.6993006993006994,-0.6993006993006994,0.6993006993006994
1.44,0.29613428615588544,-1.474429111075181,-0.6420034869301698,0.0,0.0,0.0,-0.398310158288559,-0.7799846666307366,-1.3364479313746143,0.6944444444444444,-0.6944444444444444,0.6944444444444444
1.45,0.30558198885468535,-1.4454623010255663,-0.6186930888250686,0.0,0.0,0.0,-0.3840731835591078,-0.7558071286117732,-1.3083482612388617,0.6896551724137931,-0.6896551724137931,0.6896551724137931
1.46,0.3145791861378781,-1.4171052506817228,-0.5945699549829696,0.0,0.0,0.0,-0.3703523207114369,-0.7321737438324077,-1.2795014618322846,0.684931506849315,-0.684931506849315,0.684931506849315
1.47,0.323139001426674,-1.3893780568212173,-0.5698512802060979,0.0,0.0,0.0,-0.3571331074168634,-0.70910594797768,-1.2501233890496353,0.6802721088435374,-0.6802721088435374,0.6802721088435374
1.48,0.3312749242838704,-1.3622949788269896,-0.5447253398320802,0.0,0.0,0.0,-0.34440075139180526,-0.6866193031513139,-1.2204010155077558,0.6756756756756757,-0.6756756756756757,0.6756756756756757
